MonthNumeric,MonthFactor,Year,RAV4Sales,Unemployment,RAV4Queries,CPIAll,CPIEnergy
1,January,2020,33130,3.5,86,258.82,219.56099999999998
2,February,2020,39626,3.5,88,259.05,215.139
3,March,2020,24875,4.4,62,257.953,202.7
4,April,2020,15431,14.8,51,255.90200000000002,182.148
5,May,2020,34292,13.3,81,255.768,178.787
6,June,2020,36006,11.1,99,257.214,187.97
7,July,2020,36323,10.2,100,258.723,192.752
8,August,2020,39239,8.4,94,259.681,194.43
9,September,2020,43652,7.8,88,260.209,195.99
10,October,2020,40717,6.9,89,260.325,196.269
11,November,2020,40250,6.7,79,260.817,197.112
12,December,2020,46846,6.7,85,261.775,205.084
